127.0.0.1 - - [07/Feb/2026 15:00:33] "GET /benchmark_texas.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /chapters/02-europe/index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /images/europe_regions.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /images/europe_physical.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /images/europe_eu.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /images/europe_languages.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /images/europe_climate.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /js/map-init.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /js/regions-data.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /images/europe_population.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /js/quiz-engine.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:02:01] "GET /chapters/02-europe/quiz-data.json HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /chapters/02-europe/index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /images/europe_physical.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /images/europe_regions.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /images/europe_climate.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /images/europe_eu.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /images/europe_languages.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /js/map-init.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /js/regions-data.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /js/quiz-engine.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /images/europe_population.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:05] "GET /chapters/02-europe/quiz-data.json HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /chapters/02-europe/index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /images/europe_regions.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /images/europe_physical.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /images/europe_climate.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /images/europe_languages.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /js/map-init.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /images/europe_eu.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /js/regions-data.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /js/quiz-engine.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /images/europe_population.jpg HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 15:03:45] "GET /chapters/02-europe/quiz-data.json HTTP/1.1" 200 -
